name,address
낙원갈비집 수원월드컵점,경기도 수원시 팔달구 우만동 519 1층
남도예찬,경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 아띠존 C111
로마경양식,경기도 수원시 팔달구 인계동 955-1 동수원빌딩 1층 로마경양식
라고,경기도 수원시 영통구 이의동 1332 광교 아브뉴프랑 1층 중앙광장
가보정,경기도 수원시 팔달구 인계동 958-1 의성빌딩
오이탈리안,경기도 수원시 영통구 이의동 1332
서양식탁,경기도 수원시 영통구 이의동 1317-4
본수원갈비,경기도 수원시 팔달구 우만동 103-1
달보드레,경기도 수원시 팔달구 우만동 산9-2 달보드레
이모네손칼국수,경기도 수원시 팔달구 우만동 95-1
뷰베떼,경기도 수원시 영통구 이의동 1305-6
태화장 본점,경기도 수원시 팔달구 우만동 89-11
오늘392,경기도 수원시 영통구 이의동 1261-2
개성손만두 수원월드컵점,경기도 수원시 팔달구 우만동 518-1 개성손만두 수원월드컵점
티철판요리,경기도 수원시 영통구 원천동 572-3 링크프라자 2층 티철판요리
카페테리아피노,경기도 수원시 영통구 이의동 1309-4
진미통닭,경기도 수원시 팔달구 남수동 117-1
곤드레향기 동수원점,경기도 수원시 팔달구 우만동 561
카페메이븐,경기도 수원시 팔달구 남수동 11-443 1층 카페메이븐
오봉집 광교중앙역점,"경기도 수원시 영통구 이의동 1322-5 112호, 113호"
지아니스나폴리 아비뉴프랑,경기도 수원시 영통구 이의동 1332 아브뉴프랑 1층 (스타벅스 맞은편)
합 아주대직영3호점,경기도 수원시 영통구 원천동 29-5 2층
335kitchen 광교아브뉴프랑점,경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 2층 208호
한조카츠,경기도 수원시 팔달구 우만동 54 1층 HANZO katsu
키와마루아지,경기도 수원시 팔달구 우만동 89-11 1층 키와마루아지
입분식가정집 광교직영점,경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 라온존 1층
피자알볼로 우만점,경기도 수원시 팔달구 우만동 519-4 1층 좌측
남문통닭 본점,경기도 수원시 팔달구 팔달로1가 50
오늘의초밥,경기도 수원시 영통구 이의동 1306-20 1층 오늘의초밥
이춘복참치 광교점,경기도 수원시 영통구 이의동 1332 아브뉴프랑 2층 B201호
에테르노,경기도 수원시 영통구 이의동 1331 204동 1-67호
멘야고코로,경기도 수원시 영통구 원천동 30-66
동태찌개유명한집 연무본점,경기도 수원시 장안구 연무동 245-15 1층
심야식당 후라후라,경기도 수원시 영통구 이의동 1331 월드스퀘어 1-120 심야식당 후라후라
마포본가 본점,경기도 수원시 팔달구 인계동 959-5
돌돌말이국수,경기도 수원시 영통구 원천동 75-3 돌돌말이국수
이치하치 행궁점,경기도 수원시 팔달구 남수동 71-1 이치하치
빕스 아주대점,경기도 수원시 팔달구 우만동 90
본만두 아주대점,경기도 수원시 팔달구 우만동 96-4 삼희빌딩 1층
운로,경기도 수원시 팔달구 우만동 573-5 1층
